date,value
2024-01-01,8338.88
2024-02-01,8304.95
2024-03-01,8689.13
2024-04-01,9464.43
2024-05-01,10139.33
2024-06-01,9648.17
2024-07-01,9385.31
2024-08-01,8971.96
2024-09-01,9237.48
2024-10-01,9533.99
2024-11-01,9075.73
2024-12-01,8916.32
2025-01-01,8991.41
2025-02-01,9330.6
2025-03-01,9739.68
2025-04-01,9176.8
2025-05-01,9532.98
2025-06-01,9835.07
2025-07-01,9770.58
2025-08-01,9669.56
2025-09-01,9983.79
2025-10-01,10739.91
2025-11-01,10812.03
2025-12-01,11785.25
2026-01-01,13012.0
2026-02-01,12951.35
2026-03-01,12528.71
2026-04-01,12950.96
