date,value
2024-01-01,135.82
2024-02-01,124.39
2024-03-01,109.79
2024-04-01,112.75
2024-05-01,118.88
2024-06-01,107.45
2024-07-01,106.85
2024-08-01,99.91
2024-09-01,92.83
2024-10-01,101.39
2024-11-01,100.5
2024-12-01,102.21
2025-01-01,99.58
2025-02-01,105.08
2025-03-01,100.1
2025-04-01,97.24
2025-05-01,96.97
2025-06-01,92.33
2025-07-01,97.26
2025-08-01,99.74
2025-09-01,103.28
2025-10-01,103.53
2025-11-01,102.48
2025-12-01,104.59
2026-01-01,105.53
2026-02-01,98.84
2026-03-01,104.45
2026-04-01,106.05
