date,value
2024-01-01,692.259
2024-02-01,688.3895
2024-03-01,692.695
2024-04-01,682.7215
2024-05-01,688.3895
2024-06-01,692.804
2024-07-01,700.8155
2024-08-01,704.794
2024-09-01,720.2175
2024-10-01,711.7155
2024-11-01,694.4935
2024-12-01,689.207
2025-01-01,673.184
2025-02-01,683.103
2025-03-01,703.6495
2025-04-01,716.784
2025-05-01,728.3925
2025-06-01,738.6385
2025-07-01,736.2405
2025-08-01,732.6435
2025-09-01,736.0225
2025-10-01,727.684
2025-11-01,715.3125
2025-12-01,729.646
2026-01-01,736.8945
2026-02-01,740.6005
2026-03-01,726.921
2026-04-01,732.5345
