date,value
2024-01-01,22.916
2024-02-01,22.657
2024-03-01,24.518
2024-04-01,27.494
2024-05-01,29.36
2024-06-01,29.577
2024-07-01,29.773
2024-08-01,28.53
2024-09-01,30.131
2024-10-01,32.416
2024-11-01,31.094
2024-12-01,30.764
2025-01-01,30.411
2025-02-01,32.152
2025-03-01,33.188
2025-04-01,32.225
2025-05-01,32.763
2025-06-01,36.005
2025-07-01,37.698
2025-08-01,38.185
2025-09-01,42.816
2025-10-01,49.439
2025-11-01,50.432
2025-12-01,62.342
2026-01-01,92.062
2026-02-01,81.946
2026-03-01,77.881
2026-04-01,75.86
